MM-FIXAR-00221-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M6 X 1 x 10MM | 118
MM-FIXAR-00222-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M6 X 1 X 20MM | 118
MM-FIXAR-00223-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M6 X 1,50 X 30MM | 119
MM-FIXAR-00224-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M6 X 1,50 X 60MM | 119
MM-FIXAR-00225-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M10 X 1,50 X 30MM | 122
MM-FIXAR-00226-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M10 X 1,50 X 50MM | 122
MM-FIXAR-00227-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M10 X 1,50 X 5MM | 120
MM-FIXAR-00228-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M10 X 1,50 X 70MM | 122
MM-FIXAR-00229-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M12 X 1,75 X 10MM | 122
MM-FIXAR-00230-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M12 X 1,75 X 30MM | 122
MM-FIXAR-00231-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M12 X 1,75 X 50MM | 123
MM-FIXAR-00232-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M3 X 0,50 X 10MM | 115
MM-FIXAR-00233-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M3 X 0,50 X 20MM | 115
MM-FIXAR-00234-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M3 X 0,50 X 30MM | 115
MM-FIXAR-00235-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M4 X 0,70 X 10MM | 116
MM-FIXAR-00236-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M4 X 0,70 X 16MM | 116
MM-FIXAR-00237-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M4 X 0,70 X 25MM | 116
MM-FIXAR-00238-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 X 12MM | 117
MM-FIXAR-00239-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 X 16MM | 117
MM-FIXAR-00240-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 X 20MM | 117
MM-FIXAR-00241-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 X 30MM | 117
MM-FIXAR-00242-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 x 40MM | 118
MM-FIXAR-00243-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 X 50MM | 118
MM-FIXAR-00244-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M5 X 0,80 X 6MM | 117
MM-FIXAR-00245-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M6 X 1 X 16MM | 118
MM-FIXAR-00246-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M6 X 1 X 50MM | 119
MM-FIXAR-00247-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M8 X 1,25 X 12MM | 119
MM-FIXAR-00248-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M8 X 1,25 X 16MM | 119
MM-FIXAR-00249-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M8 X 1,25 X 20MM | 120
MM-FIXAR-00250-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M8 X 1,25 X 30MM | 120
MM-FIXAR-00251-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M8 X 1,25 X 40MM | 120
MM-FIXAR-00252-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | M8 X 1,25 X 80MM | 120
MM-FIXAR-00253-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 1/4 X 1/2POL | 124
MM-FIXAR-00254-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 3/8 X 1/2POL | 125
MM-FIXAR-00255-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 1/4 X 3/4POL | 124
